mun,mun_name,gender,year,n_orp
8573,Puerto Colombia,Female,2015,8
8606,Repelón,Female,2015,2
8634,Sabanagrande,Female,2015,13
8638,Sabanalarga,Female,2015,13
8675,Santa Lucía,Female,2015,1
8685,Santo Tomás,Female,2015,4
8758,Soledad,Female,2015,123
8770,Suan,Female,2015,2
8832,Tubará,Female,2015,2
8849,Usiacurí,Female,2015,1
11001,"Bogotá, D.C.",Female,2015,1662
13001,Cartagena De Indias,Female,2015,316
13006,Achí,Female,2015,3
13030,Altos Del Rosario,Female,2015,0
13042,Arenal,Female,2015,0
13052,Arjona,Female,2015,11
13062,Arroyohondo,Female,2015,1
13074,Barranco De Loba,Female,2015,5
13140,Calamar,Female,2015,4
13160,Cantagallo,Female,2015,1
13188,Cicuco,Female,2015,2
13212,Córdoba,Female,2015,0
13222,Clemencia,Female,2015,1
13244,El Carmen De Bolívar,Female,2015,18
13248,El Guamo,Female,2015,1
13268,El Peñón,Female,2015,0
13300,Hatillo De Loba,Female,2015,1
13430,Magangué,Female,2015,41
13433,Mahates,Female,2015,6
13440,Margarita,Female,2015,0
13442,María La Baja,Female,2015,8
13458,Montecristo,Female,2015,1
13468,Mompós,Female,2015,6
13473,Morales,Female,2015,1
13490,Norosí,Female,2015,0
13549,Pinillos,Female,2015,1
13580,Regidor,Female,2015,2
13600,Río Viejo,Female,2015,0
13620,San Cristóbal,Female,2015,1
13647,San Estanislao,Female,2015,1
13650,San Fernando,Female,2015,2
13654,San Jacinto,Female,2015,2
13655,San Jacinto Del Cauca,Female,2015,0
13657,San Juan Nepomuceno,Female,2015,5
13667,San Martín De Loba,Female,2015,3
13670,San Pablo,Female,2015,6
13673,Santa Catalina,Female,2015,1
13683,Santa Rosa,Female,2015,7
13688,Santa Rosa Del Sur,Female,2015,2
13744,Simití,Female,2015,2
13760,Soplaviento,Female,2015,3
13780,Talaigua Nuevo,Female,2015,2
13810,Tiquisio,Female,2015,2
13836,Turbaco,Female,2015,11
13838,Turbaná,Female,2015,0
13873,Villanueva,Female,2015,3
13894,Zambrano,Female,2015,1
15001,Tunja,Female,2015,44
15022,Almeida,Female,2015,0
15047,Aquitania,Female,2015,8
15051,Arcabuco,Female,2015,0
15087,Belén,Female,2015,0
15090,Berbeo,Female,2015,0
15092,Betéitiva,Female,2015,0
15097,Boavita,Female,2015,0
15104,Boyacá,Female,2015,2
15106,Briceño,Female,2015,0
15109,Buenavista,Female,2015,2
15114,Busbanzá,Female,2015,0
15131,Caldas,Female,2015,0
15135,Campohermoso,Female,2015,1
15162,Cerinza,Female,2015,0
15172,Chinavita,Female,2015,0
15176,Chiquinquirá,Female,2015,27
15180,Chiscas,Female,2015,0
15183,Chita,Female,2015,4
15185,Chitaraque,Female,2015,1
15187,Chivatá,Female,2015,1
15189,Ciénega,Female,2015,2
15204,Cómbita,Female,2015,1
15212,Coper,Female,2015,1
15215,Corrales,Female,2015,2
15218,Covarachía,Female,2015,2
15223,Cubará,Female,2015,2
15224,Cucaita,Female,2015,1
